"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95393","EasyMyTrip - data-driven (POM) @sanity @sanity @regression","firefox","2026-02-17","passed","2026-02-17","","MajorProject.spec.ts","",""
"","197810","EasyMyTrip - data-driven (POM) @sanity @sanity @regression","webkit","2026-02-17","passed","2026-02-17","","MajorProject.spec.ts","",""
"","61435","EasyMyTrip - data-driven (POM) @smoke @sanity @regression","regression","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
"","64812","EasyMyTrip - data-driven (POM)","chromium","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
"","118184","EasyMyTrip - data-driven (POM) @smoke @sanity @regression","sanity","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
"","150160","EasyMyTrip - data-driven (POM) @sanity @regression","firefox","2026-02-17","broken","2026-02-17","","MajorProject.spec.ts","",""
"","78104","EasyMyTrip - data-driven (POM) @sanity @regression","chromium","2026-02-17","passed","2026-02-17","","MajorProject.spec.ts","",""
"","74713","EasyMyTrip - data-driven (POM) @sanity @sanity @regression","regression","2026-02-17","passed","2026-02-17","","MajorProject.spec.ts","",""
"","111354","EasyMyTrip - data-driven (POM) @sanity @smoke @regression","firefox","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
"","164745","EasyMyTrip - data-driven (POM) @smoke @sanity @regression","chromium","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
"","5587","EasyMyTrip - data-driven (POM) @smoke @sanity @regression","smoke","2026-02-20","failed","2026-02-20","","MajorProject.spec.ts","",""
"","139187","EasyMyTrip - data-driven (POM) @sanity @smoke @regression","webkit","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
"","99150","EasyMyTrip - data-driven (POM)","webkit","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
"","86306","EasyMyTrip - data-driven (POM) @smoke @sanity @regression","firefox","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
"","88509","EasyMyTrip - data-driven (POM) @sanity @regression","regression","2026-02-17","passed","2026-02-17","","MajorProject.spec.ts","",""
"","69949","EasyMyTrip - data-driven (POM) @sanity @sanity @regression","sanity","2026-02-17","passed","2026-02-17","","MajorProject.spec.ts","",""
"","104427","EasyMyTrip - data-driven (POM) @sanity @regression","webkit","2026-02-17","passed","2026-02-17","","MajorProject.spec.ts","",""
"","109652","EasyMyTrip - data-driven (POM) @smoke @sanity @regression","webkit","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
"","98444","EasyMyTrip - data-driven (POM) @sanity @smoke @regression","chromium","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
"","98166","EasyMyTrip - data-driven (POM) @sanity @regression","sanity","2026-02-17","passed","2026-02-17","","MajorProject.spec.ts","",""
"","91727","EasyMyTrip - data-driven (POM) @sanity @smoke @regression","smoke","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
"","134832","EasyMyTrip - data-driven (POM)","firefox","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
"","194457","EasyMyTrip - data-driven (POM) @sanity @smoke @regression","regression","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
"","73844","EasyMyTrip - data-driven (POM) @sanity @sanity @regression","chromium","2026-02-17","passed","2026-02-17","","MajorProject.spec.ts","",""
"","92524","EasyMyTrip - data-driven (POM) @sanity @smoke @regression","sanity","2026-02-20","passed","2026-02-20","","MajorProject.spec.ts","",""
